Python研发工程师,本科,杭州,D轮及以上,酷家乐,移动互联网,15k-23k,拱墅区,期权激励、年度旅游、年终丰厚、零食水果,500-2000人,1-3年
Python开发工程师,本科,北京,C轮,天下秀,"移动互联网,广告营销",18k-25k,朝阳区,"团队氛围好,五险一金,节日福利",500-2000人,1-3年
Python工程师,本科,北京,C轮,Face++,"移动互联网,硬件",20k-40k,海淀区,"技术驱动,极客氛围,大牛团队",500-2000人,1-3年
Python开发工程师,本科,成都,上市公司,顺网科技,"游戏,文化娱乐",10k-20k,武侯区,"上市公司,大数据,大平台,福利健全",500-2000人,3-5年
Python开发工程师,本科,深圳,上市公司,Shopee,电子商务,15k-30k,南山区,东南亚跨境电商平台、福利棒、美女多,2000人以上,1-3年
python研发工程师,大专,北京,B轮,先花花,"移动互联网,金融",15k-20k,海淀区,带薪年假,150-500人,3-5年
Python,不限,北京,C轮,洋葱数学,"移动互联网,教育",15k-30k,朝阳区,"年假15天,免费早午餐,技术氛围好,弹性不打卡",150-500人,1-3年
Python 开发工程师,本科,北京,上市公司,360,"移动互联网,游戏",25k-35k,朝阳区,五险一金 补充医疗 免费三餐和班车,2000人以上,3-5年
Python开发工程师,本科,深圳,B轮,商汤科技,移动互联网,15k-30k,南山区,"人工智能,福利好,技术大牛多,弹性工作",500-2000人,3-5年
python工程师,本科,北京,C轮,作业盒子,"移动互联网,教育",20k-40k,朝阳区,"大平台,技术牛,好前景,核心职位",500-2000人,3-5年
服务端高级开发工程师Golang/Python,本科,北京,D轮及以上,美团点评,"移动互联网,O2O",35k-45k,朝阳区,"优厚待遇,技术导向",2000人以上,3-5年
Python程序员,本科,厦门,上市公司,点触科技,"移动互联网,游戏",10k-20k,思明区,五险一金，双休，班车接送，免费早餐,150-500人,3-5年
技术工程部-python开发工程师,本科,北京,C轮,搜狗,"移动互联网,数据服务",20k-40k,海淀区,技术先进、团队气氛佳,2000人以上,3-5年
Python开发工程师（上海）,本科,上海,不需要融资,平安科技,金融,15k-30k,浦东新区,世界50强 节日福利 绩效丰厚,2000人以上,不限
Python开发,本科,深圳,不需要融资,顺丰科技有限公司,"移动互联网,电子商务",20k-30k,南山区,"开发,能力论英雄",500-2000人,3-5年
python工程师,本科,北京,C轮,作业盒子,"移动互联网,教育",15k-30k,朝阳区,"大平台,技术牛,好前景,核心职位",500-2000人,3-5年
Python开发工程师（上海）,本科,上海,不需要融资,平安科技,金融,10k-15k,浦东新区,公司发展前景好，福利待遇好,2000人以上,不限
Python开发工程师,硕士,北京,D轮及以上,爱奇艺,"广告营销,文化娱乐",18k-28k,海淀区,14薪，12天带薪年假，地铁周边,2000人以上,1-3年
Python,本科,北京,C轮,人人行(借贷宝),"移动互联网,金融",15k-25k,朝阳区,九鼎控股；有钱任性；六险一金；福利好,2000人以上,1-3年
高级Python研发工程师,本科,上海,A轮,贝米钱包,金融,15k-30k,徐汇区,"商业保险,年度旅游,带薪年病假,弹性工作",50-150人,3-5年
Python开发工程师,本科,深圳,D轮及以上,极光,"移动互联网,数据服务",10k-20k,南山区,五险一金、14薪/年、下午茶、工作餐等等,150-500人,1-3年
Python中级工程师,不限,北京,B轮,先花花,"移动互联网,金融",15k-20k,海淀区,"大牛云集,高速发展",150-500人,3-5年
Python研发工程师（中高级）,本科,北京,上市公司,掌阅,移动互联网,15k-25k,朝阳区,"管理扁平化,发展机会佳,薪资待遇好",500-2000人,3-5年
