丹佛小镇  | 2室2厅 | 47.31平米 | 南 | 精装 | 有电梯,高楼层(共9层)2009年建板楼  -  将军大道,163万单价34454元/平米,https://nj.lianjia.com/xiaoqu/1411050279764/
江岸水城  | 2室2厅 | 73.65平米 | 南 | 简装 | 有电梯,中楼层(共11层)2009年建板楼  -  桥北,165万单价22404元/平米,https://nj.lianjia.com/xiaoqu/2511053237258/
康美里  | 3室1厅 | 71.34平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2000年建板楼  -  洪家园,205万单价28736元/平米,https://nj.lianjia.com/xiaoqu/1411047049126/
万达华府东苑  | 3室2厅 | 103.07平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2003年建板楼  -  奥体,602万单价58407元/平米,https://nj.lianjia.com/xiaoqu/1411041376760/
真园  | 2室1厅 | 65.26平米 | 南 北 | 精装 | 无电梯,低楼层(共7层)1998年建板楼  -  南苑,205万单价31413元/平米,https://nj.lianjia.com/xiaoqu/1411000000900/
双乐园小区  | 2室1厅 | 49.57平米 | 南 北 | 简装 | 有电梯,高楼层(共7层)1997年建板楼  -  来凤里,122万单价24612元/平米,https://nj.lianjia.com/xiaoqu/1411043420529/
翠屏国际水杉苑  | 3室2厅 | 132.76平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2006年建板楼  -  将军大道,347万单价26138元/平米,https://nj.lianjia.com/xiaoqu/1411049115586/
桃园人家  | 3室2厅 | 130.24平米 | 南 | 简装 | 有电梯,高楼层(共11层)2005年建板塔结合  -  来凤里,540万单价41462元/平米,https://nj.lianjia.com/xiaoqu/1411000000083/
明月港湾彩云湾  | 2室1厅 | 89.97平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2002年建板楼  -  岔路口,240万单价26676元/平米,https://nj.lianjia.com/xiaoqu/1420023314833382/
聚福园二期  | 3室1厅 | 92.63平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2002年建板楼  -  龙江,550万单价59377元/平米,https://nj.lianjia.com/xiaoqu/1411000000352/
